11,2
47,3
19,3
24,1
40,3
7,2
16,2
21,3
26,0
41,3
49,0
59,0
51,0
4,3
39,1
57,3
60,3
46,2
61,3
0,0
45,2
30,2
31,3
35,3
9,2
74,1
3,2
0,3
74,2
37,3
32,1
3,0
16,1
8,1
44,1
14,2
52,3
51,3
54,1
11,0
15,2
68,1
73,2
67,3
9,0
36,2
13,3
49,2
7,1
72,3
65,3
55,1
26,3
69,0
53,2
37,1
43,3
1,0
32,3
12,0
6,0
0,1
71,0
10,0
50,0
33,2
49,1
74,0
54,3
55,3
1,2
47,1
8,0
71,2
60,1
20,2
18,0
5,0
62,0
57,1
22,2
19,1
31,1
50,2
24,3
12,2
42,2
6,3
17,2
39,3
44,0
2,1
4,1
61,1
63,2
15,0
23,0
17,1
65,1
53,3
67,0
47,2
58,2
50,1
27,2
68,3
52,1
46,3
38,2
7,3
48,3
62,2
18,2
66,1
9,3
12,1
60,2
70,0
69,2
56,3
16,3
20,1
4,2
64,3
20,0
41,0
31,0
18,1
2,0
66,2
26,2
45,0
35,0
62,1
5,1
21,0
51,2
73,3
61,0
29,3
58,0
52,2
37,2
38,1
57,0
27,1
34,0
0,2
4,0
68,2
35,2
34,2
19,2
29,0
63,1
45,3
57,2
61,2
21,2
69,3
15,1
33,3
28,1
22,1
32,2
11,3
72,0
23,1
52,0
65,0
55,2
71,1
13,0
66,0
30,1
36,3
32,0
53,1
25,2
15,3
67,2
54,0
56,0
38,0
3,1
11,1
64,0
34,1
74,3
28,3
63,3
70,3
41,1
21,1
59,1
13,1
63,0
64,2
29,1
22,0
8,3
62,3
25,1
18,3
73,1
8,2
43,2
44,3
5,3
24,0
28,0
48,2
72,1
6,2
23,3
20,3
48,1
59,2
17,3
24,2
42,3
56,1
46,1
68,0
33,0
9,1
43,1
16,0
48,0
7,0
64,1
50,3
